RefId,IsBadBuy
73015,5.200667768883411e-12
73016,2.0583855001442096e-12
73017,1.5663455606575238e-12
73018,1.094443075295111e-8
73019,1.1171826549002627e-4
73020,4.530717678438288e-11
73021,1.3825068032707464e-7
73022,6.65149417610292e-10
73023,1.5710797301232312e-12
73024,0.0010284663467208172
73025,2.5321609447462856e-11
73026,3.362179116010359e-4
73027,3.0571071583259534e-6
73028,2.97282672028462e-8
73029,3.5050885428542185e-12
73030,1.7931553774805745e-12
73031,1.5788653631504192e-10
73032,1.365517817142266e-10
73033,9.379402058515119e-13
73034,1.1364748763469802e-8
73035,9.182630002526058e-11
73036,1.7410324707191285e-10
73037,1.7766674652142057e-11
73038,1.877234181808702e-11
73039,2.510629872401228e-11
73040,5.175377232205835e-13
73041,7.460592980380622e-4
73042,5.16098768858267e-13
73043,2.9463949345175824e-10
73044,1.8047807374723448e-10
73045,3.0485950432601043e-9
73046,2.566559830025323e-10
73047,1.2559384185196983e-8
73048,3.514188887194595e-11
73049,1.2770763468610951e-11
73050,4.75979841069752e-12
73051,4.871765323052005e-7
73052,6.353785196855243e-5
73053,1.0461026787179591e-5
73054,4.676219847531069e-12
73055,7.740768988878769e-11
73056,7.016023433367787e-11
73057,5.34205848009619e-13
73058,6.106901497591721e-10
73059,3.1092164628696624e-12
73060,1.4016724151403631e-11
73061,2.482613435411882e-9
73062,1.0650671147899597e-10
73063,3.60334198365016e-11
73064,7.008268023208203e-15
73065,3.150279571632337e-8
73066,5.890546823679051e-13
73067,4.719014209898457e-11
73068,1.7286661177948618e-8
73069,6.5304044004926424e-12
73070,1.7856406899234807e-12
73071,1.1633204693877278e-8
73072,2.8651086991587966e-12
73073,3.5493959268247823e-10
73074,1.5390998246339077e-11
73075,9.970241934792832e-12
73076,2.0150944968403493e-11
73077,4.885588391911584e-12
73078,3.3752482801936043e-10
73079,7.87972688177082e-12
73080,6.823052109257815e-11
73081,1.1856874076114223e-11
73082,6.5357836884648734e-12
73083,4.672554348548301e-12
73084,2.8579009467235356e-9
73085,1.631199626588958e-11
73086,1.9767268645436895e-10
73087,2.858668247796307e-10
73088,1.925142917278191e-10
73089,1.0688638049384219e-11
73090,1.6100482189984367e-9
73091,4.0501323537459333e-11
73092,1.7799400017208665e-12
73093,7.162798780099952e-12
73094,3.730169643635987e-11
73095,8.379701037853423e-9
73096,7.348485234617918e-11
73097,7.862194594564053e-12
73098,1.2044844443686122e-11
73099,2.658688754057952e-12
73100,1.2384014252643589e-11
73101,0.2073289503825879
73102,1.0776652213914782e-11
73103,7.322866750163464e-12
73104,8.414395156856514e-6
73105,9.976306988613648e-11
73106,1.807392568087777e-11
73107,4.948599607280058e-10
73108,9.523985082242844e-12
73109,8.640161391908096e-8
73110,6.945502231593835e-11
73111,3.965386531965468e-12
